,Date,Location,Operator,Route,Type,Total_Aboard,Passengers_Aboard,Crew_Aboard,Total_Fatalities,Passengers_Fatalities,Crew_Fatalities,Ground,Summary,Year
0,1909-07-09,"Juvisy-sur-Orge, France",Unknown,Air show,Wright Byplane,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",1909
1,1913-06-08,"Victoria, British Columbia, Canada",Private,Unknown,Curtiss seaplane,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1913
2,1917-06-17,"Near Yarmouth, England",Unknown,Unknown,Zepplin L-48 (air ship),16.0,0.0,0.0,14.0,0.0,0.0,0.0,Shot down by aircraft.,1917
3,1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,Unknown,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,1918
4,1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,Unknown,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1919
5,1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,Unknown,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed under unknown circumstances.,1919
6,1919-02-08,"Verona, Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,14.0,12.0,2.0,14.0,12.0,2.0,0.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,1919
7,1919-02-10,"Newcastle, England",Aircraft Transport and Travel,Unknown,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Unknown,1919
8,1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Unknown,Curtiss R-4LM,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",1919
9,1919-10-20,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,Unknown,De Havilland DH-4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Crashed into the sea while attempting to land in fog.,1919
10,1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,Unknown,De Havilland DH.4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",1919
11,1919-11-12,"Catherham, Surrey, UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Crashed in a field while attemptting to land.,1919
12,1920-10-03,"New Paris, Indiana",US Aerial Mail Service,Unknown,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",1920
