,Date,Location,Operator,Route,Type,Total_Aboard,Passengers_Aboard,Crew_Aboard,Total_Fatalities,Passengers_Fatalities,Crew_Fatalities,Ground,Summary,Year
47,1920-07-11,"Tie Siding, Wyoming",US Aerial Mail Service,Unknown,De Havilland DH-4,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.,1920
76,1923-01-17,"Barcelona, Spain",Grands Express Aeriens,Unknown,Breguet 14,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm.,1923
108,1926-03-07,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Paris - Prague - Budapest,Caudron C-61,6,4,2,6,4,2,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,1926
117,1926-12-16,"Medford, Oregon",Pacific Air Transport,Unknown,Ryan M-1,1,0,1,1,0,1,0,The postal plane crashed into a mountain slope in foggy conditions.,1926
160,1928-04-10,"Gerona, Spain",Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,3,2,1,3,2,1,0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,",1928
174,1929-05-01,"Stafford Springs, Connecticut",Colonial Air Transport,Unknown,Fairchild FC-2,1,0,1,1,0,1,0,Struck a mountain slope  in poor weather.,1929
180,1929-03-30,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4,3,1,4,3,1,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",1929
231,1930-12-10,"La Rache, Morocco",Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,4,3,1,4,3,1,0,The french postal plane crashed into mountains.,1930
237,1930-11-18,"Techachapi Mountains, California",Pacific Air Transport,"Burbank, CA - Oakland, CA",Boeing 40,3,0,3,3,0,3,0,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.",1930
240,1931-01-22,"Bluff Mountain, Washington",Varney Air Lines,Portland - Pasco,Boeing 40,1,0,1,1,0,1,0,The mail plane flew into Bluff Mountain in dense fog.,1931
244,1931-03-21,"New South Wales, Australia",Australian National Airways,Sydney - Melbourne,Avro 10,8,6,2,8,6,2,0,Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.,1931
249,1931-05-24,"Bellefonte, Pennsylvania",National Air Transport,Unknown,Boeing 95,1,0,1,1,0,1,0,Crashed into a mountain and burned in poor visibility and icing conditions.,1931
264,1931-11-13,"Sir Lowry's pass, South Africa",Union Airways,Durban - Cape Town,De Havilland DH.80,3,2,1,3,2,1,0,"Flew into a thunderstorm over mountains, lost a wing and crashed.",1931
266,1931-11-24,"Near Tsinan, China",China National Aviation Corporation,Nanking - Peiking,Stinson,3,1,2,3,1,2,0,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog.,1931
273,1932-01-29,"Lebec, California",Century Pacific Lines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,8,7,1,8,7,1,0,"Crashed into a canyon, in mountains, during a blizzard. Wreckage found a week later.",1932
286,1932-07-16,"Mount El Plomo, near Vitacura, Chile",Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,9,6,3,9,6,3,0,"The aircraft crashed in a severe snowstorm in the Andes Mountains.  The wreckage was buried by ice and snow and wasn’t found until March 22, 1934.",1932
289,1932-08-09,"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,4,2,2,3,1,2,0,The mail plane struck a mountain and burned after encountering poor weather conditions.,1932
